,PC1,PC2,PC3
Z_true,-0.5358273218300844,0.15430986370696495,-0.5235501312446242
MASS_true,0.27005285961324793,0.6650287820077895,-0.49995171532879257
METALLICITY_true,0.5192061086833646,0.266451784438911,-0.08552968067902329
log_SFR,-0.24740238715092813,0.6687033863441314,0.6742872568893331
log_Mass-Weighted Age,0.5560374175655872,-0.12555641252116603,0.11817322595722728
