component,explained_variance_ratio,cumulative_variance
1,0.6076267800084841,0.6076267800084841
2,0.3140952975314172,0.9217220775399013
3,0.0484191884482303,0.9701412659881317
4,0.020905324558442382,0.9910465905465741
5,0.008953409453426094,1.0000000000000002
