latent_dim,train_mse,val_mse,test_mse,input_dim,compression_ratio
2,0.03444369348049164,0.03401288099765778,0.03429957575917244,5,2.5
3,0.01137518076479435,0.01136080694258213,0.011254639257490635,5,1.6666666666666667
4,0.0028509899059683086,0.0028724403984099625,0.002826303742304444,5,1.25
5,8.37561030391953e-06,9.53472644672729e-06,9.738072931650095e-06,5,1.0
