Column,Type,NaNs,Placeholder count,Min,Max,Mean,Std,Unique values
ulsst_TOT_ERR,float64,0,46312,5.672389830771834e-20,22.089746264891954,0.8471940199688692,1.4991777401882995,737016
ulsst_TOT,float64,0,46312,16.74674,29.99993,26.253725522796827,1.2974795763620806,381080
gdes_TOT,float64,0,4416,15.05254,29.99995,25.779599058779155,1.173577060386651,360397
gdes_TOT_ERR,float64,0,4416,0.00034210938387296055,34.73555598803012,0.8156588173297746,1.5081997316191025,779642
rdes_TOT,float64,0,2885,14.10158,29.99989,25.41036485285497,1.2865236605445585,373234
rdes_TOT_ERR,float64,0,2885,0.00023132038464297066,54.270314752492716,1.0434238326894654,2.15425454304567,777868
VISeuc_TOT,float64,0,2802,13.95584,29.99999,25.25753587846704,1.3335806340163012,382801
VISeuc_TOT_ERR,float64,0,2802,0.0003116935128666755,86.75792936039339,1.4131464075044455,3.070328348615168,771546
ides_TOT,float64,0,2429,13.73652,29.99978,25.088546687104873,1.388699802308874,392751
ides_TOT_ERR,float64,0,2429,0.0002112036233208434,106.8970910297289,1.6924632941478774,3.856543461053337,767708
ylsst_TOT,float64,0,1864,13.25945,29.99959,24.826100024089197,1.505472038197695,413307
ylsst_TOT_ERR,float64,0,1864,1.0055462940892754e-05,41.91622304306197,0.7587838990725663,1.81228812816978,782663
Yeuc_TOT_ERR,float64,0,1822,2.0111111111111114e-05,94.50866937327586,1.5524978644225138,3.9786655668973108,771877
Yeuc_TOT,float64,0,1822,13.2383,30.0,24.688407468153667,1.4796549007699025,411288
glsst_TOT_ERR,float64,0,1752,5.027963011368479e-05,5.6364817081642755,0.13038395553552387,0.17878268178090503,787134
glsst_TOT,float64,0,1752,15.0896,29.9999,25.78602459080855,1.0941912915971184,345844
Jeuc_TOT,float64,0,1390,13.04467,29.99984,24.412009703793576,1.4931773931283572,414265
Jeuc_TOT_ERR,float64,0,1390,2.0111111111111114e-05,103.17866878506189,1.259245231969628,3.5484003068079133,777211
zlsst_TOT,float64,0,1376,13.5393,29.99966,25.072696688803497,1.427440715890123,396051
zlsst_TOT_ERR,float64,0,1376,1.0055277714126218e-05,19.739681180514587,0.3756309465717183,0.7564241939660432,787154
SFRMED_DOWN_euclsst,float64,0,1110,-15.88765,3.032,0.09297082156032903,1.028386282557082,244343
Heuc_TOT_ERR,float64,0,1025,2.011074065416595e-05,110.46668353149424,1.0619421740123023,3.366614616228287,779892
Heuc_TOT,float64,0,1025,12.87605,29.99985,24.115226168845755,1.4742156690519275,410117
zdes_TOT_ERR,float64,0,1011,9.050583493871992e-05,319.6848404234983,3.643351948522889,9.03806161904401,727522
zdes_TOT,float64,0,1011,13.44518,29.99919,24.51806872114041,1.4231386666484998,404403
SFRMED_euclsst,float64,0,963,-15.65086,3.1,0.3675989624818142,0.8279878119739655,236786
SFRMED_UP_euclsst,float64,0,955,-15.01751,3.168,0.6390577736907327,0.7356808169940151,224461
MMED_UP_euclsst,float64,0,941,6.19635,11.82347,9.644699013511953,0.5660595908671805,210703
MMED_DOWN_euclsst,float64,0,940,6.11835,11.71702,9.099674618753598,0.6831631532300243,251965
MMED_euclsst,float64,0,940,6.15735,11.77538,9.37993561611032,0.6120001337840009,228989
ZMED_DOWN_euclsst,float64,0,697,0.0132,3.9541,1.31324623213894,0.7605306247550054,36555
