Column,Type,NaNs,Placeholder count,Min,Max,Mean,Std,Unique values
ZBEST_lsst,float64,0,0,0.0,13.173,1.6904431350104003,0.946740284242559,105315
rlsst_TOTnoerr,float64,0,0,14.18769,32.25278,25.447387586887512,1.1600960597226135,347294
ZBEST_DOWN_euc,float64,0,0,0.0,3.9556,0.6839319168585956,0.8192594773089199,35647
ZBEST_UP_euc,float64,0,0,0.01,4.0,2.489260916141554,1.1939948332079626,39228
glsst_TOTnoerr,float64,0,0,15.08956,34.11775,25.78877626886035,1.0993511949042147,344047
ZBEST_euc,float64,0,0,0.0,13.135,2.0961407432533434,2.342257100541468,107905
METALLICITY_true,float64,0,0,0.00075,0.0409,0.007349479295727899,0.0039151538423186855,2755
ilsst_TOTnoerr,float64,0,0,13.80109,31.33339,25.233809691963305,1.2757308970336225,365065
MASS-WEIGHTED_AGE_true,float64,0,0,53462570.0,10390430000.0,1265415437.356104,1016246393.0098864,745653
SFR_true,float64,0,0,0.0,256.5937,3.4098787015964955,5.155389239814304,407002
ulsst_TOTnoerr,float64,0,0,16.74666,76.4,27.392149041507352,5.120031009586237,436248
MASSBC03_true,float64,0,0,8.829778020732236,12.135709418540252,9.459265293373436,0.4400094108006982,744189
MASS_true,float64,0,0,9.0,12.301133345452538,9.57849920618794,0.4451714865838949,54018
ylsst_TOTnoerr,float64,0,0,13.25946,29.54553,24.80467995719284,1.406444386974253,390388
Z_dist,float64,0,0,0.06379955,4.000496,1.9487698057367535,0.8605289021167021,702336
Z_true,float64,0,0,0.06357503,3.999986,1.9487657735489023,0.8605256217882207,700049
zlsst_TOTnoerr,float64,0,0,13.53929,30.32398,25.041860595372917,1.3544803171465662,378855
SLICE1,int64,0,0,2512.0,20382.0,7034.307794728347,3324.8147990788184,3987
DEC_true,float64,0,0,-0.4999943,0.4999981,-0.0023560232813528035,0.29087725580495294,763391
SUBSAMPLE,int16,0,0,1.0,8.0,4.0626043574872615,2.140308488347576,8
ZBEST_UP_euclsst,float64,0,0,0.01,4.0,1.898402164428127,0.9414529440392633,38899
ZBEST_DOWN_euclsst,float64,0,0,0.0,3.9905,1.3348610758924386,0.855114635596758,36761
Jeuc_TOTnoerr,float64,0,0,13.04466,28.64558,24.44186384568901,1.4068836211176712,395337
LR_BEST_lsst,float64,0,0,-6.975,12.08,9.221404324295564,0.6234812200180276,4978
LNUV_BEST_euclsst,float64,0,0,-9.286,11.888,9.098016360213542,0.7968972677742134,6905
LR_BEST_euclsst,float64,0,0,-7.185,11.341,9.160665860944519,0.6275776577212473,5385
LK_BEST_euclsst,float64,0,0,-7.566,10.518,8.337166509576187,0.6268808967722717,5275
EXTLAW_BEST_euclsst,float64,0,0,0.0,1.0,0.15089934300706653,0.357950965365981,2
EBV_BEST_euclsst,float64,0,0,0.0,0.7,0.08824469122852366,0.11807738270463997,8
MNUV_TOT_true,float64,0,0,-22.77321,-9.34567,-18.794717837700194,1.3312160863092304,386845
MR_TOT_true,float64,0,0,-25.22843,-16.57646,-20.36710439539167,1.0249924515615927,346606
MKs_TOT_true,float64,0,0,-25.96382,-17.27167,-20.372834307801064,1.0678009630497272,344811
EXTLAW_BEST_lsst,float64,0,0,0.0,1.0,0.12938174760627044,0.33562218892043394,2
LK_BEST_lsst,float64,0,0,-7.356,11.376,8.392906578037234,0.6436151039521437,5026
gdes_TOTnoerr,float64,0,0,15.05184,34.09107,25.778168728973316,1.096870745711948,343181
LNUV_BEST_lsst,float64,0,0,-9.075,12.369,9.193272002168863,0.7628540481545352,6320
MBEST_euc,float64,0,0,-5.00713,11.75424,9.275705554998137,0.6772868254620321,255770
ides_TOTnoerr,float64,0,0,13.73633,31.04113,25.187256623530125,1.2969023521546652,368759
EBV_BEST_euc,float64,0,0,0.0,0.7,0.13446539828771378,0.16812473936341046,8
EXTLAW_BEST_euc,float64,0,0,0.0,1.0,0.33184984176934557,0.47087769662859486,2
rdes_TOTnoerr,float64,0,0,14.10138,32.27776,25.411600032634297,1.1784667576585923,349785
LK_BEST_euc,float64,0,0,-6.834,10.726,8.338009962576992,0.5330508068024471,3644
LR_BEST_euc,float64,0,0,-6.453,11.617,9.171661291385108,0.514473013868765,3744
zdes_TOTnoerr,float64,0,0,13.44511,30.00751,24.95579904803168,1.3763574715327729,383494
LNUV_BEST_euc,float64,0,0,-8.554,12.136,9.227530886015655,0.7309288029880224,5389
MBEST_euclsst,float64,0,0,-5.73923,11.78353,9.41345623200744,0.695157531750788,255312
Heuc_TOTnoerr,float64,0,0,12.87606,27.89153,24.109325633049288,1.362184904733314,384399
MBEST_lsst,float64,0,0,-5.52884,12.58793,9.444443400502184,0.7599127024513277,282470
ID_HZAGN,int64,0,0,-98.0,2550575.0,1522064.5952817113,592575.6783473226,786954
