n_components,pca_mse,explained_variance
2,0.6906787783901724,0.3139535512454154
3,0.5445884605903688,0.4589871107750741
4,0.4218375113361576,0.5797931961008451
5,0.30640454302739945,0.6954991971974487
6,0.22663067467014908,0.7749961907191676
7,0.15186944658973361,0.8482905498741178
8,0.10036724429678272,0.9004559246765402
9,0.0528595561567763,0.947788784303433
10,0.025420543412071887,0.975280134301737
11,1.2131806990363244e-30,1.0000000000000002
